,bottom depth
0,106.68000000042672
1,15.24000000006096
2,60.96000000024384
3,137.16000000054862
4,45.72000000018288
5,76.2000000003048
6,167.64000000067054
7,106.68000000042672
8,213.36000000085343
9,243.84000000097535
10,289.56000000115824
11,167.64000000067054
12,228.60000000091438
13,289.56000000115824
